#한 행이 하나다. 여러 파일 여러 배열에 흩어져 있던 것을 모은 것.
#값은 소스에 적힌 글자 그대로다. 이름을 숫자로 바꾸지 않는다.
#id는 계약이다. 중간에 끼우지 말고 항상 맨 끝에 (content/README.md).
#\N은 그 배열에 이 번호가 없다는 뜻이다.
id	enum_name	label	enemy_type	str	skill1	skill2	skill3	card_bg
0	CREW_BOY		NPC_BOY	10	NPC_BOY_SKILL1	NPC_BOY_SKILL2	NPC_BOY_SKILL3	1
1	CREW_GIRL		NPC_GIRL	10	NPC_GIRL_SKILL1	NPC_GIRL_SKILL2	NPC_GIRL_SKILL3	1
2	CREW_GRANDMA		NPC_GRANDMA	10	NPC_GRANDMA_SKILL1	NPC_GRANDMA_SKILL2	NPC_GRANDMA_SKILL3	2
3	CREW_GRANDFA		NPC_GRANDFA	10	NPC_GRANDFA_SKILL1	NPC_GRANDFA_SKILL2	NPC_GRANDFA_SKILL3	2
4	CREW_MAN		NPC_MAN	10	NPC_MAN_SKILL1	NPC_MAN_SKILL2	NPC_MAN_SKILL3	3
5	CREW_WOMAN		NPC_WOMAN	10	NPC_WOMAN_SKILL1	NPC_WOMAN_SKILL2	NPC_WOMAN_SKILL3	3
6	CREW_UNCLE		NPC_UNCLE	10	NPC_UNCLE_SKILL1	NPC_UNCLE_SKILL2	NPC_UNCLE_SKILL3	4
7	CREW_AUNT		NPC_AUNT	10	NPC_AUNT_SKILL1	NPC_AUNT_SKILL2	NPC_AUNT_SKILL3	4
8	CREW_SEAUNCLE		NPC_SEAUNCLE	10	NPC_SEAUNCLE_SKILL1	NPC_SEAUNCLE_SKILL2	NPC_SEAUNCLE_SKILL3	5
9	CREW_SEASOLDIER		NPC_SEASOLDIER	14	NPC_SEASOLDIER_SKILL1	NPC_SEASOLDIER_SKILL2	NPC_SEASOLDIER_SKILL3	5
10	CREW_MILESE		NPC_MILESE	14	NPC_MILESE_SKILL1	NPC_MILESE_SKILL2	NPC_MILESE_SKILL3	6
11	CREW_ALMA		NPC_ALMA	14	NPC_ALMA_SKILL1	NPC_ALMA_SKILL2	NPC_ALMA_SKILL3	6
12	CREW_CREW		NPC_CREW	14	NPC_CREW_SKILL1	NPC_CREW_SKILL2	NPC_CREW_SKILL3	7
13	CREW_TRAVEL		NPC_TRAVEL	14	NPC_TRAVEL_SKILL1	NPC_TRAVEL_SKILL2	NPC_TRAVEL_SKILL3	7
14	CREW_ELFBOY		NPC_ELFBOY	14	NPC_ELFBOY_SKILL1	NPC_ELFBOY_SKILL2	NPC_ELFBOY_SKILL3	8
15	CREW_ELFGIRL		NPC_ELFGIRL	14	NPC_ELFGIRL_SKILL1	NPC_ELFGIRL_SKILL2	NPC_ELFGIRL_SKILL3	8
16	CREW_ITEM		NPC_ITEM	14	NPC_ITEM_SKILL1	NPC_ITEM_SKILL2	NPC_ITEM_SKILL3	9
17	CREW_ELFUNCLE		NPC_ELFUNCLE	14	NPC_ELFUNCLE_SKILL1	NPC_ELFUNCLE_SKILL2	NPC_ELFUNCLE_SKILL3	9
18	CREW_ELFAUNT		NPC_ELFAUNT	14	NPC_ELFAUNT_SKILL1	NPC_ELFAUNT_SKILL2	NPC_ELFAUNT_SKILL3	10
19	CREW_ADELKNIGHT		NPC_ADELKNIGHT	18	NPC_ADELKNIGHT_SKILL1	NPC_ADELKNIGHT_SKILL2	NPC_ADELKNIGHT_SKILL3	10
20	CREW_OWL		NPC_OWL	18	NPC_OWL_SKILL1	NPC_OWL_SKILL2	NPC_OWL_SKILL3	11
21	CREW_MAID		NPC_MAID	18	NPC_MAID_SKILL1	NPC_MAID_SKILL2	NPC_MAID_SKILL3	11
22	CREW_BUNNYGIRL		NPC_BUNNYGIRL	18	NPC_BUNNYGIRL_SKILL1	NPC_BUNNYGIRL_SKILL2	NPC_BUNNYGIRL_SKILL3	11
23	CREW_MAP		NPC_MAP	18	NPC_MAP_SKILL1	NPC_MAP_SKILL2	NPC_MAP_SKILL3	11
24	CREW_MONICA		NPC_MONICA	18	NPC_MONICA_SKILL1	NPC_MONICA_SKILL2	NPC_MONICA_SKILL3	11
